,"time","Confirmed",,,
0,1,0,0,0,0
1,2,0,0,0,0
2,3,0,0,0,0
3,4,0,0,0,0
4,5,2,0,0,0
5,6,2,2,0,0
6,7,2,2,2,0
7,8,2,2,2,2
8,9,2,2,2,2
9,10,2,2,2,2
10,11,2,2,2,2
11,12,2,2,2,2
12,13,2,2,2,2
13,14,2,2,2,2
14,15,3,2,2,2
15,16,3,3,2,2
16,17,3,3,3,2
17,18,3,3,3,3
18,19,3,3,3,3
19,20,3,3,3,3
20,21,3,3,3,3
21,22,3,3,3,3
22,23,3,3,3,3
23,24,3,3,3,3
24,25,3,3,3,3
25,26,3,3,3,3
26,27,3,3,3,3
27,28,3,3,3,3
28,29,20,3,3,3
29,30,62,20,3,3
30,31,155,62,20,3
31,32,229,155,62,20
32,33,322,229,155,62
33,34,453,322,229,155
34,35,655,453,322,229
35,36,888,655,453,322
36,37,1128,888,655,453
37,38,1694,1128,888,655
38,39,2036,1694,1128,888
39,40,2502,2036,1694,1128
40,41,3089,2502,2036,1694
41,42,3858,3089,2502,2036
42,43,4636,3858,3089,2502
43,44,5883,4636,3858,3089
44,45,7375,5883,4636,3858
45,46,9172,7375,5883,4636
46,47,10149,9172,7375,5883
47,48,12462,10149,9172,7375
48,49,15113,12462,10149,9172
49,50,17660,15113,12462,10149
50,51,21157,17660,15113,12462
51,52,24747,21157,17660,15113
52,53,27980,24747,21157,17660
53,54,31506,27980,24747,21157
54,55,35713,31506,27980,24747
55,56,41035,35713,31506,27980
56,57,47021,41035,35713,31506
57,58,53578,47021,41035,35713
58,59,59138,53578,47021,41035
59,60,63927,59138,53578,47021
60,61,69176,63927,59138,53578
61,62,74386,69176,63927,59138
62,63,80589,74386,69176,63927
63,64,86498,80589,74386,69176
64,65,92472,86498,80589,74386
65,66,97689,92472,86498,80589
66,67,101739,97689,92472,86498
67,68,105792,101739,97689,92472
68,69,110574,105792,101739,97689
69,70,115242,110574,105792,101739
70,71,119827,115242,110574,105792
71,72,124632,119827,115242,110574
72,73,128948,124632,119827,115242
73,74,132547,128948,124632,119827
74,75,135586,132547,128948,124632
75,76,139422,135586,132547,128948
76,77,143626,139422,135586,132547
77,78,147577,143626,139422,135586
78,79,152271,147577,143626,139422
79,80,156363,152271,147577,143626
80,81,159516,156363,152271,147577
81,82,162488,159516,156363,152271
82,83,165155,162488,159516,156363
83,84,168941,165155,162488,159516
84,85,172434,168941,165155,162488
85,86,175925,172434,168941,165155
86,87,178972,175925,172434,168941
87,88,181228,178972,175925,172434
88,89,183957,181228,178972,175925
89,90,187327,183957,181228,178972
90,91,189973,187327,183957,181228
91,92,192994,189973,187327,183957
92,93,195351,192994,189973,187327
93,94,197675,195351,192994,189973
94,95,199414,197675,195351,192994
95,96,201505,199414,197675,195351
96,97,203591,201505,199414,197675
97,98,205463,203591,201505,199414
98,99,207428,205463,203591,201505
99,100,209328,207428,205463,203591
100,101,210717,209328,207428,205463
101,102,211938,210717,209328,207428
102,103,213013,211938,210717,209328
103,104,214457,213013,211938,210717
104,105,215858,214457,213013,211938
105,106,217185,215858,214457,213013
106,107,218268,217185,215858,214457
107,108,219070,218268,217185,215858
108,109,219814,219070,218268,217185
109,110,221216,219814,219070,218268
110,111,222104,221216,219814,219070
111,112,223096,222104,221216,219814
112,113,223885,223096,222104,221216
113,114,224760,223885,223096,222104
114,115,225435,224760,223885,223096
115,116,225886,225435,224760,223885
116,117,226699,225886,225435,224760
117,118,227364,226699,225886,225435
118,119,228006,227364,226699,225886
119,120,228658,228006,227364,226699
120,121,229327,228658,228006,227364
121,122,229858,229327,228658,228006
122,123,230158,229858,229327,228658
,,,230158,229858,229327
,,,,230158,229858
,,,,,230158
